Third Level Statistical Building Block (Middle-Layer Super Output Area) codes mapping to POLAR4,,,,,
Scotland,S02000301,2,40,165,25.4%
Scotland,S02000302,5,200,400,49.9%
Scotland,S02000303,4,200,470,42.1%
Scotland,S02000304,5,165,330,50.4%
Scotland,S02000305,5,105,210,50.4%
Scotland,S02000306,2,70,240,29.2%
Scotland,S02000307,5,125,210,61.0%
Scotland,S02000308,5,175,305,57.3%
Scotland,S02000309,5,125,205,62.5%
Scotland,S02000310,5,195,330,59.9%
Scotland,S02000311,5,335,435,77.8%
Scotland,S02000312,5,170,250,67.6%
Scotland,S02000313,5,295,475,61.6%
Scotland,S02000314,5,220,430,50.8%
Scotland,S02000315,5,140,270,53.0%
Scotland,S02000316,5,225,275,83.0%
Scotland,S02000317,5,340,490,68.9%
Scotland,S02000318,5,290,420,68.9%
Scotland,S02000319,5,150,210,71.0%
Scotland,S02000320,5,185,275,67.5%
Scotland,S02000321,5,195,340,57.7%
Scotland,S02000322,3,90,265,33.8%
Scotland,S02000323,5,215,265,81.0%
Scotland,S02000324,5,205,325,62.1%
Scotland,S02000325,5,250,320,78.2%
Scotland,S02000326,5,235,315,73.9%
Scotland,S02000327,5,140,215,64.6%
Scotland,S02000328,3,155,395,39.3%
Scotland,S02000329,5,125,205,60.3%
Scotland,S02000330,5,260,365,71.7%
Scotland,S02000331,5,230,285,80.3%
Scotland,S02000332,4,65,155,41.7%
Scotland,S02000333,1,70,350,20.3%
Scotland,S02000334,5,80,145,55.3%
Scotland,S02000335,5,325,410,79.1%
Scotland,S02000336,5,255,365,70.0%
Scotland,S02000337,5,135,195,69.5%
Scotland,S02000338,2,55,220,25.1%
Scotland,S02000339,1,120,515,23.7%
Scotland,S02000340,5,135,200,67.4%
Scotland,S02000341,4,135,305,44.3%
Scotland,S02000342,5,115,175,65.6%
Scotland,S02000343,2,60,245,24.7%
Scotland,S02000344,4,185,475,39.4%
Scotland,S02000345,1,40,175,22.1%
Scotland,S02000346,5,110,170,63.3%
Scotland,S02000347,5,195,235,83.1%
Scotland,S02000348,1,80,485,17.0%
Scotland,S02000349,2,70,240,29.8%
Scotland,S02000350,1,40,240,17.7%
Scotland,S02000351,5,225,325,69.8%
Scotland,S02000352,5,175,215,81.3%
Scotland,S02000353,1,25,135,19.9%
Scotland,S02000354,1,35,170,19.3%
Scotland,S02000355,5,225,295,75.7%
Scotland,S02000356,2,50,165,29.4%
Scotland,S02000357,5,210,260,79.8%
Scotland,S02000358,1,50,230,21.7%
Scotland,S02000359,3,55,160,34.3%
Scotland,S02000360,5,160,155,100.0%
Scotland,S02000361,5,185,265,70.0%
Scotland,S02000362,1,40,270,15.3%
Scotland,S02000363,4,120,250,47.8%
Scotland,S02000364,4,70,145,47.0%
Scotland,S02000365,5,85,115,72.7%
Scotland,S02000366,3,70,195,35.6%
Scotland,S02000367,1,55,240,23.2%
Scotland,S02000368,3,75,200,38.2%
Scotland,S02000369,3,75,195,37.7%
Scotland,S02000370,3,95,245,38.3%
Scotland,S02000371,3,75,200,37.0%
Scotland,S02000372,4,80,185,43.2%
Scotland,S02000373,3,35,100,37.3%
Scotland,S02000374,3,75,200,38.6%
Scotland,S02000375,4,40,85,46.1%
Scotland,S02000376,5,120,185,64.6%
Scotland,S02000377,4,25,65,39.4%
Scotland,S02000378,1,45,210,22.3%
Scotland,S02000379,2,50,195,24.8%
Scotland,S02000380,5,115,185,62.8%
Scotland,S02000381,1,35,190,19.0%
Scotland,S02000382,5,145,285,51.2%
Scotland,S02000383,5,180,250,72.7%
Scotland,S02000384,5,130,220,59.0%
Scotland,S02000385,3,60,160,38.2%
Scotland,S02000386,5,165,270,60.7%
Scotland,S02000387,1,35,265,12.8%
Scotland,S02000388,5,195,280,70.9%
Scotland,S02000389,5,135,145,92.0%
Scotland,S02000390,5,255,285,89.5%
Scotland,S02000391,4,115,255,44.2%
Scotland,S02000392,3,80,210,37.5%
Scotland,S02000393,1,30,150,21.0%
Scotland,S02000394,5,85,135,61.3%
Scotland,S02000395,5,70,135,51.0%
Scotland,S02000396,4,90,190,48.7%
Scotland,S02000397,5,250,285,87.7%
Scotland,S02000398,5,115,135,82.8%
Scotland,S02000399,4,125,280,44.0%
Scotland,S02000400,2,90,300,30.5%
Scotland,S02000401,4,55,130,43.5%
Scotland,S02000402,5,60,115,51.2%
Scotland,S02000403,2,35,125,26.8%
Scotland,S02000404,5,105,125,82.7%
Scotland,S02000405,5,75,95,77.6%
Scotland,S02000406,5,90,140,64.2%
Scotland,S02000407,5,150,210,70.6%
Scotland,S02000408,5,65,95,69.8%
Scotland,S02000409,2,40,130,31.4%
Scotland,S02000410,1,25,155,17.7%
Scotland,S02000411,1,60,260,22.7%
Scotland,S02000412,5,95,175,54.9%
Scotland,S02000413,5,165,175,94.9%
Scotland,S02000414,5,130,240,54.4%
Scotland,S02000415,5,130,160,81.0%
Scotland,S02000416,2,35,145,24.7%
Scotland,S02000417,5,155,270,57.0%
Scotland,S02000418,4,70,160,44.1%
Scotland,S02000419,1,55,350,15.3%
Scotland,S02000420,2,35,115,30.0%
Scotland,S02000421,5,150,190,79.2%
Scotland,S02000422,1,95,435,21.7%
Scotland,S02000423,4,120,260,45.9%
Scotland,S02000424,5,165,250,65.3%
Scotland,S02000425,5,195,225,86.1%
Scotland,S02000426,5,70,115,58.8%
Scotland,S02000427,2,65,205,31.0%
Scotland,S02000428,3,105,280,38.3%
Scotland,S02000429,4,150,325,45.9%
Scotland,S02000430,5,145,275,51.9%
Scotland,S02000431,4,105,225,45.5%
Scotland,S02000432,3,75,195,38.3%
Scotland,S02000433,4,50,115,45.6%
Scotland,S02000434,4,60,140,44.6%
Scotland,S02000435,4,90,200,45.7%
Scotland,S02000436,4,65,155,42.0%
Scotland,S02000437,4,85,215,40.4%
Scotland,S02000438,4,105,230,46.0%
Scotland,S02000439,4,105,260,40.2%
Scotland,S02000440,1,75,330,22.9%
Scotland,S02000441,4,90,210,43.1%
Scotland,S02000442,3,105,310,33.9%
Scotland,S02000443,5,155,220,71.3%
Scotland,S02000444,5,215,390,54.4%
Scotland,S02000445,3,85,230,36.4%
Scotland,S02000446,3,65,185,34.3%
Scotland,S02000447,3,75,225,32.7%
Scotland,S02000448,4,115,275,41.5%
Scotland,S02000449,5,105,200,52.4%
Scotland,S02000450,3,70,210,33.9%
Scotland,S02000451,3,90,270,33.5%
Scotland,S02000452,5,65,85,77.0%
Scotland,S02000453,5,95,180,53.3%
Scotland,S02000454,3,80,225,35.1%
Scotland,S02000455,3,45,140,34.0%
Scotland,S02000456,3,80,215,36.3%
Scotland,S02000457,3,70,205,33.1%
Scotland,S02000458,1,25,205,13.0%
Scotland,S02000459,2,40,145,28.7%
Scotland,S02000460,5,70,135,50.7%
Scotland,S02000461,3,60,190,31.9%
Scotland,S02000462,1,70,310,22.6%
Scotland,S02000463,2,70,245,28.8%
Scotland,S02000464,2,75,260,28.6%
Scotland,S02000465,2,65,265,24.2%
Scotland,S02000466,1,30,140,22.5%
Scotland,S02000467,4,110,235,46.8%
Scotland,S02000468,4,60,145,41.4%
Scotland,S02000469,1,60,275,22.4%
Scotland,S02000470,1,50,245,21.0%
Scotland,S02000471,5,130,225,58.2%
Scotland,S02000472,4,105,245,42.1%
Scotland,S02000473,3,70,220,32.5%
Scotland,S02000474,4,105,230,45.9%
Scotland,S02000475,2,70,230,29.6%
Scotland,S02000476,3,70,205,35.3%
Scotland,S02000477,4,140,295,47.4%
Scotland,S02000478,5,120,220,53.5%
Scotland,S02000479,2,65,210,30.9%
Scotland,S02000480,3,70,205,35.0%
Scotland,S02000481,2,65,225,29.2%
Scotland,S02000482,3,90,285,32.2%
Scotland,S02000483,3,45,130,33.1%
Scotland,S02000484,5,145,220,64.7%
Scotland,S02000485,4,100,205,48.8%
Scotland,S02000486,2,55,195,28.4%
Scotland,S02000487,5,120,205,59.1%
Scotland,S02000488,2,50,180,28.6%
Scotland,S02000489,3,45,125,37.1%
Scotland,S02000490,5,130,215,60.5%
Scotland,S02000491,5,150,210,72.0%
Scotland,S02000492,5,115,220,51.8%
Scotland,S02000493,5,310,540,57.1%
Scotland,S02000494,1,45,185,23.5%
Scotland,S02000495,4,65,170,39.4%
Scotland,S02000496,3,75,210,35.0%
Scotland,S02000497,1,50,250,20.8%
Scotland,S02000498,3,60,180,34.0%
Scotland,S02000499,5,125,155,79.6%
Scotland,S02000500,3,80,220,36.0%
Scotland,S02000501,4,95,230,40.3%
Scotland,S02000502,2,55,180,31.3%
Scotland,S02000503,5,145,210,67.5%
Scotland,S02000504,4,60,150,40.7%
Scotland,S02000505,4,95,230,40.8%
Scotland,S02000506,4,70,170,40.3%
Scotland,S02000507,5,125,245,49.8%
Scotland,S02000508,5,110,190,57.0%
Scotland,S02000509,5,105,190,54.6%
Scotland,S02000510,5,135,255,52.9%
Scotland,S02000511,2,75,300,24.5%
Scotland,S02000512,3,60,185,33.5%
Scotland,S02000513,2,50,185,27.8%
Scotland,S02000514,1,40,175,23.5%
Scotland,S02000515,2,50,170,28.4%
Scotland,S02000516,5,105,145,71.9%
Scotland,S02000517,5,105,175,61.8%
Scotland,S02000518,5,80,110,73.8%
Scotland,S02000519,3,90,260,33.8%
Scotland,S02000520,3,60,170,34.8%
Scotland,S02000521,4,100,210,48.5%
Scotland,S02000522,5,65,100,65.7%
Scotland,S02000523,3,70,190,37.0%
Scotland,S02000524,1,50,260,19.9%
Scotland,S02000525,1,40,180,22.5%
Scotland,S02000526,1,85,360,23.8%
Scotland,S02000527,2,45,190,24.0%
Scotland,S02000528,2,55,185,28.8%
Scotland,S02000529,2,75,260,28.0%
Scotland,S02000530,2,45,170,26.6%
Scotland,S02000531,4,80,190,42.4%
Scotland,S02000532,1,35,220,16.0%
Scotland,S02000533,5,105,195,53.3%
Scotland,S02000534,2,95,345,27.7%
Scotland,S02000535,5,155,295,53.1%
Scotland,S02000536,1,35,165,21.1%
Scotland,S02000537,3,50,150,33.5%
Scotland,S02000538,1,35,250,14.7%
Scotland,S02000539,3,75,240,31.8%
Scotland,S02000540,1,30,155,20.8%
Scotland,S02000541,2,40,160,25.4%
Scotland,S02000542,5,150,285,53.0%
Scotland,S02000543,1,25,140,17.9%
Scotland,S02000544,3,85,240,36.4%
Scotland,S02000545,3,70,190,38.3%
Scotland,S02000546,1,50,220,22.5%
Scotland,S02000547,1,65,345,18.7%
Scotland,S02000548,3,115,335,33.9%
Scotland,S02000549,2,45,160,26.7%
Scotland,S02000550,5,130,255,51.3%
Scotland,S02000551,3,85,225,38.1%
Scotland,S02000552,2,50,170,30.8%
Scotland,S02000553,1,65,290,22.3%
Scotland,S02000554,4,85,195,42.5%
Scotland,S02000555,2,55,180,30.9%
Scotland,S02000556,2,45,155,28.0%
Scotland,S02000557,2,90,285,30.9%
Scotland,S02000558,4,55,130,42.9%
Scotland,S02000559,5,100,200,49.7%
Scotland,S02000560,2,50,180,27.8%
Scotland,S02000561,5,120,225,52.7%
Scotland,S02000562,5,105,200,52.5%
Scotland,S02000563,5,105,185,57.9%
Scotland,S02000564,4,70,145,49.0%
Scotland,S02000565,4,95,245,40.0%
Scotland,S02000566,5,110,200,55.8%
Scotland,S02000567,4,90,215,40.5%
Scotland,S02000568,4,125,260,49.0%
Scotland,S02000569,5,85,150,58.3%
Scotland,S02000570,5,135,260,51.3%
Scotland,S02000571,5,100,175,58.4%
Scotland,S02000572,5,125,220,57.4%
Scotland,S02000573,5,130,250,52.0%
Scotland,S02000574,5,130,235,56.1%
Scotland,S02000575,3,70,195,36.8%
Scotland,S02000576,2,55,200,27.1%
Scotland,S02000577,1,35,260,13.1%
Scotland,S02000578,5,125,230,54.1%
Scotland,S02000579,4,70,155,46.5%
Scotland,S02000580,3,75,200,37.8%
Scotland,S02000581,5,140,250,57.1%
Scotland,S02000582,5,160,280,57.5%
Scotland,S02000583,4,100,235,43.0%
Scotland,S02000584,4,110,255,42.8%
Scotland,S02000585,2,80,295,27.6%
Scotland,S02000586,5,200,335,60.1%
Scotland,S02000587,3,125,335,38.2%
Scotland,S02000588,2,75,320,23.9%
Scotland,S02000589,3,105,310,33.5%
Scotland,S02000590,3,65,210,32.0%
Scotland,S02000591,5,110,185,59.8%
Scotland,S02000592,3,105,315,33.4%
Scotland,S02000593,5,180,290,62.3%
Scotland,S02000594,3,75,215,35.7%
Scotland,S02000595,3,100,290,34.6%
Scotland,S02000596,5,250,355,70.8%
Scotland,S02000597,1,90,390,23.5%
Scotland,S02000598,5,120,195,63.1%
Scotland,S02000599,5,115,175,67.2%
Scotland,S02000600,5,165,315,52.2%
Scotland,S02000601,1,50,285,17.9%
Scotland,S02000602,3,55,170,33.4%
Scotland,S02000603,5,100,155,63.9%
Scotland,S02000604,5,55,90,59.5%
Scotland,S02000605,5,50,90,54.6%
Scotland,S02000606,3,70,200,35.0%
Scotland,S02000607,5,105,195,54.9%
Scotland,S02000608,5,280,495,56.5%
Scotland,S02000609,5,50,80,61.7%
Scotland,S02000610,2,105,360,29.1%
Scotland,S02000611,5,140,255,54.9%
Scotland,S02000612,5,290,330,88.4%
Scotland,S02000613,4,65,155,42.0%
Scotland,S02000614,4,95,210,44.1%
Scotland,S02000615,2,55,185,28.8%
Scotland,S02000616,3,95,260,35.9%
Scotland,S02000617,1,85,375,22.9%
Scotland,S02000618,4,165,335,49.2%
Scotland,S02000619,1,35,175,18.7%
Scotland,S02000620,2,75,290,26.2%
Scotland,S02000621,4,140,290,47.3%
Scotland,S02000622,5,170,290,58.2%
Scotland,S02000623,5,155,270,57.1%
Scotland,S02000624,5,210,315,65.9%
Scotland,S02000625,3,60,170,35.0%
Scotland,S02000626,3,80,230,33.9%
Scotland,S02000627,5,160,310,52.0%
Scotland,S02000628,2,85,300,28.8%
Scotland,S02000629,1,50,210,23.6%
Scotland,S02000630,3,65,185,35.3%
Scotland,S02000631,5,130,185,70.8%
Scotland,S02000632,3,70,210,32.5%
Scotland,S02000633,1,55,305,18.8%
Scotland,S02000634,5,95,155,61.9%
Scotland,S02000635,4,95,215,44.8%
Scotland,S02000636,4,165,350,48.0%
Scotland,S02000637,3,95,255,37.8%
Scotland,S02000638,2,50,165,31.4%
Scotland,S02000639,3,65,185,34.9%
Scotland,S02000640,4,130,320,40.5%
Scotland,S02000641,1,85,360,23.5%
Scotland,S02000642,5,80,145,54.1%
Scotland,S02000643,3,70,190,36.2%
Scotland,S02000644,2,35,125,26.3%
Scotland,S02000645,5,195,330,59.6%
Scotland,S02000646,1,80,380,21.4%
Scotland,S02000647,2,95,300,31.3%
Scotland,S02000648,2,80,305,25.4%
Scotland,S02000649,1,30,140,22.8%
Scotland,S02000650,4,75,150,49.4%
Scotland,S02000651,3,50,155,32.9%
Scotland,S02000652,1,55,315,18.0%
Scotland,S02000653,1,40,175,22.3%
Scotland,S02000654,2,110,405,26.7%
Scotland,S02000655,3,110,275,39.2%
Scotland,S02000656,2,70,295,24.2%
Scotland,S02000657,3,50,160,33.0%
Scotland,S02000658,2,160,525,30.4%
Scotland,S02000659,4,95,210,45.8%
Scotland,S02000660,2,95,300,31.5%
Scotland,S02000661,3,75,210,34.9%
Scotland,S02000662,1,50,265,19.3%
Scotland,S02000663,1,70,330,21.6%
Scotland,S02000664,4,80,195,40.6%
Scotland,S02000665,5,135,245,54.6%
Scotland,S02000666,2,95,325,29.2%
Scotland,S02000667,2,90,335,27.1%
Scotland,S02000668,4,55,140,40.0%
Scotland,S02000669,4,50,125,40.6%
Scotland,S02000670,3,55,150,36.0%
Scotland,S02000671,4,55,110,49.0%
Scotland,S02000672,4,100,220,44.8%
Scotland,S02000673,3,60,165,37.2%
Scotland,S02000674,4,130,315,41.5%
Scotland,S02000675,3,85,240,35.9%
Scotland,S02000676,2,55,200,28.0%
Scotland,S02000677,5,115,135,84.4%
Scotland,S02000678,2,70,225,30.8%
Scotland,S02000679,5,130,210,61.4%
Scotland,S02000680,2,75,240,30.9%
Scotland,S02000681,5,115,195,59.5%
Scotland,S02000682,5,140,175,79.4%
Scotland,S02000683,5,90,145,61.0%
Scotland,S02000684,2,70,220,31.6%
Scotland,S02000685,1,50,260,19.2%
Scotland,S02000686,4,125,250,49.1%
Scotland,S02000687,3,75,215,35.9%
Scotland,S02000688,2,85,305,28.2%
Scotland,S02000689,5,265,320,82.1%
Scotland,S02000690,5,200,310,64.2%
Scotland,S02000691,3,90,280,32.6%
Scotland,S02000692,2,85,320,25.9%
Scotland,S02000693,2,45,160,27.5%
Scotland,S02000694,3,85,260,33.3%
Scotland,S02000695,5,240,425,56.9%
Scotland,S02000696,3,80,230,35.1%
Scotland,S02000697,2,95,310,30.0%
Scotland,S02000698,4,100,205,48.5%
Scotland,S02000699,3,75,200,37.7%
Scotland,S02000700,3,45,140,31.7%
Scotland,S02000701,1,60,250,23.8%
Scotland,S02000702,5,125,200,61.9%
Scotland,S02000703,3,55,155,34.3%
Scotland,S02000704,2,55,210,26.7%
Scotland,S02000705,4,115,240,47.5%
Scotland,S02000706,3,60,165,35.4%
Scotland,S02000707,3,85,220,39.2%
Scotland,S02000708,2,70,270,26.5%
Scotland,S02000709,3,110,345,32.0%
Scotland,S02000710,3,80,240,33.6%
Scotland,S02000711,5,95,185,49.9%
Scotland,S02000712,1,55,245,21.8%
Scotland,S02000713,4,130,310,42.2%
Scotland,S02000714,2,60,250,24.6%
Scotland,S02000715,1,55,270,20.5%
Scotland,S02000716,1,35,215,16.3%
Scotland,S02000717,2,90,340,26.3%
Scotland,S02000718,4,135,290,45.8%
Scotland,S02000719,2,100,315,31.3%
Scotland,S02000720,3,105,290,36.9%
Scotland,S02000721,4,95,240,40.3%
Scotland,S02000722,5,160,315,50.9%
Scotland,S02000723,2,75,260,28.6%
Scotland,S02000724,3,65,175,37.5%
Scotland,S02000725,3,65,190,33.4%
Scotland,S02000726,3,90,265,34.7%
Scotland,S02000727,3,125,350,35.8%
Scotland,S02000728,4,185,395,47.5%
Scotland,S02000729,5,195,345,56.2%
Scotland,S02000730,4,130,285,45.6%
Scotland,S02000731,3,75,215,35.7%
Scotland,S02000732,3,85,230,36.8%
Scotland,S02000733,3,60,185,31.6%
Scotland,S02000734,4,80,185,42.6%
Scotland,S02000735,2,70,280,24.3%
Scotland,S02000736,5,115,225,50.6%
Scotland,S02000737,5,180,350,51.5%
Scotland,S02000738,4,125,255,49.3%
Scotland,S02000739,2,55,190,29.0%
Scotland,S02000740,2,70,225,30.4%
Scotland,S02000741,4,85,195,43.5%
Scotland,S02000742,2,70,255,28.2%
Scotland,S02000743,4,105,265,40.2%
Scotland,S02000744,1,25,185,12.3%
Scotland,S02000745,3,70,215,33.2%
Scotland,S02000746,4,85,195,44.3%
Scotland,S02000747,4,175,415,42.1%
Scotland,S02000748,5,245,450,54.0%
Scotland,S02000749,3,110,300,37.2%
Scotland,S02000750,2,80,250,31.5%
Scotland,S02000751,4,80,190,41.4%
Scotland,S02000752,3,105,310,33.2%
Scotland,S02000753,5,155,295,52.7%
Scotland,S02000754,4,105,230,44.7%
Scotland,S02000755,1,85,395,21.1%
Scotland,S02000756,2,85,310,27.3%
Scotland,S02000757,4,80,200,40.8%
Scotland,S02000758,2,85,295,29.2%
Scotland,S02000759,2,70,230,31.3%
Scotland,S02000760,4,105,215,49.2%
Scotland,S02000761,4,160,380,42.0%
Scotland,S02000762,3,100,255,38.5%
Scotland,S02000763,4,65,145,43.3%
Scotland,S02000764,3,85,230,36.6%
Scotland,S02000765,3,95,300,32.0%
Scotland,S02000766,3,90,225,39.0%
Scotland,S02000767,4,140,315,44.7%
Scotland,S02000768,4,110,250,44.0%
Scotland,S02000769,4,75,160,45.9%
Scotland,S02000770,3,140,375,37.3%
Scotland,S02000771,5,135,170,78.3%
Scotland,S02000772,5,155,230,67.6%
Scotland,S02000773,5,240,415,58.5%
Scotland,S02000774,1,75,345,22.2%
Scotland,S02000775,2,95,370,25.2%
Scotland,S02000776,3,110,305,35.2%
Scotland,S02000777,5,185,325,56.5%
Scotland,S02000778,2,120,385,30.7%
Scotland,S02000779,4,140,315,44.3%
Scotland,S02000780,3,70,210,33.9%
Scotland,S02000781,2,65,245,27.1%
Scotland,S02000782,1,85,410,20.7%
Scotland,S02000783,3,120,340,35.1%
Scotland,S02000784,5,180,320,55.8%
Scotland,S02000785,5,125,245,49.8%
Scotland,S02000786,5,140,265,51.8%
Scotland,S02000787,5,210,280,74.8%
Scotland,S02000788,4,145,305,47.5%
Scotland,S02000789,3,80,210,37.9%
Scotland,S02000790,4,130,305,42.2%
Scotland,S02000791,1,30,160,18.8%
Scotland,S02000792,3,95,260,36.6%
Scotland,S02000793,1,55,270,20.9%
Scotland,S02000794,4,120,250,47.1%
Scotland,S02000795,2,45,180,24.2%
Scotland,S02000796,4,175,365,48.1%
Scotland,S02000797,4,145,375,39.3%
Scotland,S02000798,1,60,285,21.1%
Scotland,S02000799,1,75,340,22.1%
Scotland,S02000800,3,115,355,32.6%
Scotland,S02000801,1,35,245,14.3%
Scotland,S02000802,3,120,320,37.7%
Scotland,S02000803,2,65,205,31.0%
Scotland,S02000804,5,165,240,68.4%
Scotland,S02000805,1,35,190,18.1%
Scotland,S02000806,1,45,215,21.8%
Scotland,S02000807,4,95,215,44.0%
Scotland,S02000808,3,85,240,36.0%
Scotland,S02000809,4,100,245,40.1%
Scotland,S02000810,4,100,215,45.6%
Scotland,S02000811,3,95,295,32.1%
Scotland,S02000812,4,155,330,46.7%
Scotland,S02000813,4,65,165,40.1%
Scotland,S02000814,3,125,345,35.8%
Scotland,S02000815,4,85,215,39.9%
Scotland,S02000816,5,160,300,53.2%
Scotland,S02000817,5,95,185,50.7%
Scotland,S02000818,3,85,235,36.1%
Scotland,S02000819,2,55,190,30.3%
Scotland,S02000820,3,120,365,33.6%
Scotland,S02000821,4,115,245,46.5%
Scotland,S02000822,5,120,195,61.8%
Scotland,S02000823,3,70,215,32.1%
Scotland,S02000824,2,65,215,30.1%
Scotland,S02000825,4,70,180,39.6%
Scotland,S02000826,2,80,260,31.0%
Scotland,S02000827,4,125,290,42.6%
Scotland,S02000828,2,65,235,27.7%
Scotland,S02000829,5,170,285,60.2%
Scotland,S02000830,3,75,205,36.7%
Scotland,S02000831,2,80,300,26.9%
Scotland,S02000832,4,130,285,45.3%
Scotland,S02000833,5,95,190,50.5%
Scotland,S02000834,3,80,240,34.0%
Scotland,S02000835,1,30,140,22.4%
Scotland,S02000836,1,60,250,23.3%
Scotland,S02000837,2,50,190,25.9%
Scotland,S02000838,3,60,170,35.2%
Scotland,S02000839,3,70,200,34.5%
Scotland,S02000840,3,110,305,35.9%
Scotland,S02000841,1,55,245,22.3%
Scotland,S02000842,4,110,270,41.6%
Scotland,S02000843,4,150,360,41.3%
Scotland,S02000844,2,60,195,29.9%
Scotland,S02000845,2,65,260,24.8%
Scotland,S02000846,2,50,155,31.2%
Scotland,S02000847,2,65,215,31.4%
Scotland,S02000848,5,115,215,53.6%
Scotland,S02000849,2,45,150,30.2%
Scotland,S02000850,2,75,305,24.8%
Scotland,S02000851,2,65,255,25.8%
Scotland,S02000852,1,85,370,23.4%
Scotland,S02000853,1,55,265,20.7%
Scotland,S02000854,4,90,195,46.7%
Scotland,S02000855,2,115,375,30.5%
Scotland,S02000856,5,155,305,50.5%
Scotland,S02000857,4,115,270,42.9%
Scotland,S02000858,5,155,265,58.2%
Scotland,S02000859,4,80,180,43.5%
Scotland,S02000860,5,155,245,63.1%
Scotland,S02000861,3,75,200,36.5%
Scotland,S02000862,3,100,265,37.9%
Scotland,S02000863,2,65,240,26.5%
Scotland,S02000864,3,80,220,36.9%
Scotland,S02000865,3,75,225,32.4%
Scotland,S02000866,4,130,275,46.4%
Scotland,S02000867,5,105,185,56.4%
Scotland,S02000868,5,120,210,55.6%
Scotland,S02000869,5,125,190,65.3%
Scotland,S02000870,4,120,270,44.4%
Scotland,S02000871,2,75,275,27.5%
Scotland,S02000872,3,95,260,36.6%
Scotland,S02000873,4,115,250,46.3%
Scotland,S02000874,4,130,325,39.3%
Scotland,S02000875,2,95,365,26.4%
Scotland,S02000876,5,205,370,54.8%
Scotland,S02000877,4,130,310,41.9%
Scotland,S02000878,1,65,285,22.8%
Scotland,S02000879,5,165,230,71.8%
Scotland,S02000880,3,95,255,37.3%
Scotland,S02000881,3,40,130,32.7%
Scotland,S02000882,3,75,220,32.9%
Scotland,S02000883,3,100,305,32.0%
Scotland,S02000884,4,95,205,46.0%
Scotland,S02000885,4,135,285,47.9%
Scotland,S02000886,2,85,320,26.1%
Scotland,S02000887,3,170,450,38.1%
Scotland,S02000888,2,100,345,28.6%
Scotland,S02000889,2,50,185,26.0%
Scotland,S02000890,2,85,265,31.5%
Scotland,S02000891,3,75,205,35.7%
Scotland,S02000892,2,75,275,27.1%
Scotland,S02000893,2,110,360,31.1%
Scotland,S02000894,1,60,255,23.4%
Scotland,S02000895,4,125,260,48.5%
Scotland,S02000896,4,145,365,39.8%
Scotland,S02000897,4,105,260,39.9%
Scotland,S02000898,4,85,210,41.8%
Scotland,S02000899,1,90,415,22.3%
Scotland,S02000900,2,50,170,29.5%
Scotland,S02000901,4,185,380,49.0%
Scotland,S02000902,2,45,185,24.6%
Scotland,S02000903,3,95,250,38.3%
Scotland,S02000904,3,125,360,34.4%
Scotland,S02000905,2,125,405,31.2%
Scotland,S02000906,3,120,355,33.6%
Scotland,S02000907,3,120,365,33.1%
Scotland,S02000908,4,195,395,49.4%
Scotland,S02000909,3,115,335,33.9%
Scotland,S02000910,2,60,205,29.4%
Scotland,S02000911,2,50,185,28.3%
Scotland,S02000912,2,90,295,30.6%
Scotland,S02000913,4,160,365,44.1%
Scotland,S02000914,4,140,305,45.4%
Scotland,S02000915,4,125,290,43.7%
Scotland,S02000916,4,110,270,41.0%
Scotland,S02000917,4,75,175,42.2%
Scotland,S02000918,2,120,400,29.5%
Scotland,S02000919,3,195,500,39.0%
Scotland,S02000920,3,115,360,32.6%
Scotland,S02000921,2,115,400,28.9%
Scotland,S02000922,4,135,325,41.6%
Scotland,S02000923,5,185,330,56.5%
Scotland,S02000924,4,140,315,44.5%
Scotland,S02000925,4,130,285,45.3%
Scotland,S02000926,2,60,210,28.4%
